# Baseball Manager player database — edit this file; SQLite migration planned
season,pool,teamAbbr,rosterLevel,id,name,role,age,salaryKrw,potential,targetOvr,generated,bats,throws,pa,woba,iso,bbPct,kPct,sb,ip,era,fip,k9,bb9,gs,games,pitchingStyle
2026,roster,KIA,first,41b90879-d455-4a82-b350-6596b8a33730,김도영,SS,23,250000000,94,74,,R,R,311,0.4091,0.28200000000000003,0.13504823151125403,0.15755627009646303,0,,,,,,,,
2026,roster,KIA,first,8daad3a1-eda1-4d64-8eba-e1372ab370f3,나성범,LF,37,800000000,,67,,L,L,275,0.40254999999999996,0.22800000000000004,0.11272727272727273,0.26545454545454544,0,,,,,,,,
2026,roster,KIA,first,c326451c-74cb-455c-a862-167439d0b4c7,최원준,CF,36,550000000,,71,,L,R,520,0.3967857142857143,0.18714285714285717,0.10375000000000001,0.1717857142857143,29,,,,,,,,
2026,roster,KIA,first,3f5ed360-663d-408a-ba50-2b9fa9f5d2aa,변우혁,1B,26,65000000,88,66,,R,R,520,0.39035714285714285,0.18142857142857144,0.10125,0.17535714285714285,11,,,,,,,,
2026,roster,KIA,first,c040e805-6fb8-4746-824a-01cd2eab9794,김석환,DH,27,55000000,,65,,L,L,520,0.3871428571428571,0.17857142857142858,0.1,0.17714285714285716,11,,,,,,,,
2026,roster,KIA,first,4597187a-02be-4c97-b917-d51e54f71392,김선빈,2B,37,600000000,,61,,R,R,277,0.3643,0.068,0.13357400722021662,0.10108303249097472,0,,,,,,,,
2026,roster,KIA,first,382cd74a-c0db-4bb1-9a8c-8e3a0e1900f1,김태군,C,37,600000000,,63,,R,R,520,0.3775,0.16999999999999998,0.09625,0.1825,10,,,,,,,,
2026,roster,KIA,first,4f5991ae-080d-4bca-9a5c-7d26408d4784,최정용,3B,30,45000000,,62,,L,R,520,0.37107142857142855,0.16428571428571428,0.09375000000000001,0.18607142857142855,9,,,,,,,,
2026,roster,KIA,first,8a964275-85b6-4e3d-80e8-c04b8ced6c64,박찬호,SS,32,250000000,,72,,,,520,0.36464285714285716,0.15857142857142859,0.09125000000000001,0.18964285714285714,21,,,,,,,,
2026,roster,KIA,first,01b35e72-d837-4758-8714-8a4fbdbe36e4,윤도현,RF,23,55000000,82,59,,R,R,520,0.36142857142857143,0.15571428571428572,0.09000000000000001,0.19142857142857142,8,,,,,,,,
2026,roster,KIA,first,fcd82fb0-1d4f-41b2-83d6-db871b58d05d,한승택,C,32,150000000,,59,,R,R,520,0.3582142857142857,0.15285714285714286,0.08875000000000001,0.19321428571428573,7,,,,,,,,
2026,roster,KIA,first,6b1755ce-b413-42d8-a314-1bb03b0887c2,오선진,3B,37,80000000,,58,,R,R,380,0.355,0.15,0.08750000000000001,0.195,7,,,,,,,,
2026,roster,KIA,first,49c5473b-2e9b-4b9c-8812-696da458c45f,김규성,2B,29,90000000,,60,,L,R,380,0.35178571428571426,0.14714285714285713,0.08625000000000001,0.19678571428571429,18,,,,,,,,
2026,roster,KIA,first,6e47a7a1-bbdb-482f-97ee-fbf4052fddef,양현종,SP,38,800000000,,70,,L,L,,,,,,,151,3.75,3.757142857142857,11.160714285714286,2.8607142857142858,24,26,overhand
2026,roster,KIA,first,52e29841-1856-4c43-9f4f-319b670297a1,네일,SP,33,16000000000,,68,,R,R,,,,,,,87.33333333333333,3.4,2.76793893129771,6.801526717557253,1.751908396946565,11,15,overhand
2026,roster,KIA,first,7d13135e-6640-4a0b-8391-ee5dfa8e68e4,윤영철,SP,22,100000000,86,68,,L,L,,,,,,,143,4.050000000000001,4.014285714285714,10.196428571428571,3.0964285714285715,23,25,threeQuarter
2026,roster,KIA,first,7617490b-b711-404f-8607-8882b34086a9,황동하,SP,24,80000000,84,67,,R,R,,,,,,,140,4.15,4.1,9.875,3.175,23,25,threeQuarter
2026,roster,KIA,first,75da6154-e155-442d-b5a2-0deee7e5f079,이준영,SP,34,200000000,,65,,L,L,,,,,,,134,4.3500000000000005,4.271428571428571,9.232142857142858,3.3321428571428573,22,24,threeQuarter
2026,roster,KIA,first,ca1d5f45-77f6-4090-955e-454ace427a3a,정해영,RP,25,300000000,,57,,R,R,,,,,,,51,3.95,3.928571428571429,10.517857142857142,3.017857142857143,0,42,overhand
2026,roster,KIA,first,830d8c26-11b7-43a0-8b44-782f71c39c8d,전상현,RP,30,310000000,,56,,R,R,,,,,,,50,4.1000000000000005,4.057142857142857,10.035714285714285,3.1357142857142857,0,41,overhand
2026,roster,KIA,first,78d3d7fa-490e-42cd-8f3b-4737e381fe87,이의욱,RP,28,220000000,,75,,,,,,,,,,49,4.2,4.142857142857143,9.714285714285715,3.2142857142857144,0,41,threeQuarter
2026,roster,KIA,first,77d13500-0ba3-454e-87d8-d2eec59de620,김기훈,RP,26,65000000,,54,,L,L,,,,,,,48,4.25,4.185714285714286,9.553571428571429,3.2535714285714286,0,40,overhand
2026,roster,KIA,first,93dc6b94-9e51-4302-b72f-bbafe5669a6e,김대유,RP,35,70000000,,54,,L,L,,,,,,,48,4.3,4.228571428571429,9.392857142857142,3.2928571428571427,0,40,threeQuarter
2026,roster,KIA,first,461fd51b-5dbe-420a-b5e6-ab2fb6359785,장현식,RP,31,1500000000,,54,,R,R,,,,,,,47,4.3500000000000005,4.271428571428571,9.232142857142858,3.3321428571428573,0,40,threeQuarter
2026,roster,KIA,first,f1a2cb0f-9f4b-4f4a-a58a-ef8fcd415ecb,임기영,RP,33,300000000,,54,,R,,,,,,,,47,4.4,4.314285714285714,9.071428571428571,3.3714285714285714,0,40,sidearm
2026,roster,KIA,first,ee654926-405e-4ccc-b30d-2e9e572d415b,이호민,RP,20,55000000,78,53,,R,R,,,,,,,46,4.5,4.4,8.75,3.45,0,39,threeQuarter
2026,roster,KIA,farm,d7f28ea8-3561-4aac-bd0f-286dd6a5fac0,김정호,SS,21,,80,62,,,,380,0.3325,0.13,0.07875000000000001,0.2075,14,,,,,,,,
